experiment_name,dataset_variant,train_loss,validation_loss,train_script,model_path,config
sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_4k_vocab_4096_lr_1.25e-3_batch_8_dropout_0.0_weight_decay_0.0,42m,3.328043461,3.474083102,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_4k_vocab_4096_lr_1.25e-3_batch_8_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=4096;N_BLOCKS=8;EMBED_DIM=256;ATTN_HEADS=4;FFN_DIM=704;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.00125;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=8;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=4k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_8k_vocab_8192_lr_1.25e-3_batch_8_dropout_0.0_weight_decay_0.0,42m,5.414880276,5.512896061,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_8k_vocab_8192_lr_1.25e-3_batch_8_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=8192;N_BLOCKS=8;EMBED_DIM=256;ATTN_HEADS=4;FFN_DIM=704;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.00125;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=8;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=8k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_16k_vocab_16384_lr_1.25e-3_batch_8_dropout_0.0_weight_decay_0.0,42m,6.697990417,6.729718685,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_16k_vocab_16384_lr_1.25e-3_batch_8_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=16384;N_BLOCKS=8;EMBED_DIM=256;ATTN_HEADS=4;FFN_DIM=704;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.00125;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=8;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=16k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_4k_vocab_4096_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0,42m,3.58325243,3.667255914,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_4k_vocab_4096_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=4096;N_BLOCKS=8;EMBED_DIM=256;ATTN_HEADS=4;FFN_DIM=704;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.00125;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=16;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=4k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_8k_vocab_8192_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0,42m,5.736187935,5.824596047,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_8k_vocab_8192_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=8192;N_BLOCKS=8;EMBED_DIM=256;ATTN_HEADS=4;FFN_DIM=704;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.00125;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=16;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=8k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_16k_vocab_16384_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0,42m,7.236349106,7.267480612,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_16k_vocab_16384_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=16384;N_BLOCKS=8;EMBED_DIM=256;ATTN_HEADS=4;FFN_DIM=704;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.00125;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=16;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=16k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_4k_vocab_4096_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0,42m,3.375257969,3.525313354,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_4k_vocab_4096_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=4096;N_BLOCKS=8;EMBED_DIM=256;ATTN_HEADS=4;FFN_DIM=704;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.001;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=8;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=4k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_8k_vocab_8192_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0,42m,5.494078159,5.574794984,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_8k_vocab_8192_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=8192;N_BLOCKS=8;EMBED_DIM=256;ATTN_HEADS=4;FFN_DIM=704;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.001;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=8;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=8k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_16k_vocab_16384_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0,42m,6.749503613,6.797624278,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_16k_vocab_16384_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=16384;N_BLOCKS=8;EMBED_DIM=256;ATTN_HEADS=4;FFN_DIM=704;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.001;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=8;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=16k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_4k_vocab_4096_lr_1e-3_batch_16_dropout_0.0_weight_decay_0.0,42m,3.637155771,3.711126363,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260812T163136Z-66771_arch_10m_dataset_42m_tokenizer_4k_vocab_4096_lr_1e-3_batch_16_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=4096;N_BLOCKS=8;EMBED_DIM=256;ATTN_HEADS=4;FFN_DIM=704;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.001;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=16;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=4k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
