tokenizer,parameters,train_tokens,validation_loss
8k,6440192,11602544,5.503308142591643
8k,6440192,24771880,4.895116806030273
8k,6440192,53609419,4.4583864964094735
8k,6440192,115740409,4.163045402341241
8k,6440192,249340795,3.7682337096873546
8k,6440192,537347924,3.51902700830626
8k,6440192,1157839254,3.382258806452655
8k,14181760,11602544,5.399771680767905
8k,26850304,11602544,5.21382721798532
4k,6440192,16587507,3.4483720519224432
4k,6440192,35420121,3.1469528245144205
4k,6440192,76673506,2.8928195950018996
4k,6440192,165547537,2.69220078745268
4k,6440192,356650321,2.5294046647654764
4k,6440192,768481547,2.432200019197665
4k,6440192,1655721769,2.3351559694812782
4k,14181760,16587507,3.479773166308079
4k,26850304,16587507,3.377206676737765
16k,6440192,9915198,6.756827181216331
16k,6440192,21164448,6.0365856243070475
16k,6440192,45798717,5.433372912900403
16k,6440192,98888867,4.928814634660673
16k,6440192,213050814,4.462844384234884
16k,6440192,459172724,4.234046724860243
16k,6440192,989446018,3.996511829140284
16k,14181760,9915198,6.614111441187674
16k,26850304,9915198,6.968176023316252
8k,49875456,11602544,5.318051633461514
8k,49875456,24771880,4.718755026903765
8k,26850304,1157839254,3.1327788764421776
4k,49875456,16587507,3.2796475429445575
16k,49875456,9915198,6.497580370929295
